[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
Al (all spectra): 1038 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 4000
Query NIST Bibliographic Databases for
Al (new window)
Al Energy Levels
Al Line Wavelengths and Classification
Al Transition Probabilities
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                  Observed  |                    Ritz    |   Rel. |    Aki    | Acc. |           Ei           Ek           |              Lower level              |              Upper level               |  gi   gk  |Type|                 TP  |        Line  |
          |                 Wavelength |                 Wavelength |   Int. |    s^-1   |      |         (cm-1)       (cm-1)         |---------------------------------------|----------------------------------------|           |    |                Ref. |        Ref.  |
          |                  Air (nm)  |                  Air (nm)  |   (?)  |           |      |                                     | Conf.                 | Term    | J   | Conf.                 | Term    | J    |           |    |                     |              |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                            |                            |        |           |      |                                     |                       |         |     |                       |         |      |           |    |                     |              |
Al III    |                            |                 201.3959   |        |           |      |   167612.75      -    217250.17     | 2p6.4f                | 2F*     | 5/2 | 2p6.9g                | 2G      | 7/2  |   6 - 8   |    |                     |              |
Al III    |                            |                 201.3984   |      * |           |      |   167613.37      -    217250.17     | 2p6.4f                | 2F*     | 7/2 | 2p6.9g                | 2G      | 9/2  |   8 - 10  |    |                     |              |
Al III    |                            |                 201.3984   |      * |           |      |   167613.37      -    217250.17     | 2p6.4f                | 2F*     | 7/2 | 2p6.9g                | 2G      | 7/2  |   8 - 8   |    |                     |              |
Al II     |                 201.5864   |                 201.5864   |     70 |           |      |    95350.60      -    144941.10     | 3s.4s                 | 1S      | 0   | 3s.9p                 | 1P*     | 1    |   1 - 3   |    |                     |       L4575  |
Al II     |                 201.6053   |                 201.6052   |    150 | 9.82e+07  | C+   |    95549.42      -    145135.31     | 3s.3d                 | 3D      | 3   | 3s.8f                 | 3F*     | 4    |   7 - 9   |    |          T6298c4,LS |       L4575  |
          |                            |                            |        |           |      |                                     |                       |         |     |                       |         |      |           |    |                     |              |
Al IV     |                 201.619    |                 201.6169   |     30 |           |      |   821408.9       -    870991.9      | 2s2.2p5.(2P*<3/2>).4p | 2[1/2]  | 1   | 2s2.2p5.(2P*<3/2>).5s | 2[3/2]* | 2    |   3 - 5   |    |                     |       L2829  |
Al II     |                 201.6193   |                 201.6189   |     80 | 1.10e+07  | D    |    95549.42      -    145131.93     | 3s.3d                 | 3D      | 3   | 3s.8f                 | 3F*     | 3    |   7 - 7   |    |          T6298c4,LS |       L4575  |
