[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
Be (all spectra): 743 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 3]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 2360
Query NIST Bibliographic Databases for
Be (new window)
Be Energy Levels
Be Line Wavelengths and Classification
Be Transition Probabilities
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                     Observed  |                         Ritz    |  Rel. |     Aki    | Acc. |            Ei           Ek              |             Lower level             |            Upper level            |  gi   gk  |Type|      TP  |    Line  |
          |                    Wavelength |                      Wavelength |  Int. |     s^-1   |      |          (cm-1)       (cm-1)            |-------------------------------------|-----------------------------------|           |    |     Ref. |    Ref.  |
          |                     Air (nm)  |                       Air (nm)  |  (?)  |            |      |                                         | Conf.                  | Term | J   | Conf.               | Term | J    |           |    |          |          |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                               |                                 |       |            |      |                                         |                        |      |     |                     |      |      |           |    |          |          |
Be I      |                  203.265      |                    203.2600     |   9,* | 1.06e+06   | C    |   21978.28        -    71160.52         | 1s2.2s.2p              | 3P*  | 0   | 1s2.2s.6s           | 3S   | 1    |   1 - 3   |    |      u28 |   L7412  |
Be I      |                  203.265      |                    203.2627     |   9,* | 3.17e+06   | C    |   21978.925       -    71160.52         | 1s2.2s.2p              | 3P*  | 1   | 1s2.2s.6s           | 3S   | 1    |   3 - 3   |    |      u28 |   L7412  |
Be I      |                  203.265      |                    203.2724     |   9,* | 5.3e+06    | C    |   21981.27        -    71160.52         | 1s2.2s.2p              | 3P*  | 2   | 1s2.2s.6s           | 3S   | 1    |   5 - 3   |    |      u28 |   L7412  |
Be I      |                  205.5902     |                    205.5877     |  11,* | 2.28e+07   | B    |   21978.28        -    70603.76         | 1s2.2s.2p              | 3P*  | 0   | 1s2.2s.5d           | 3D   | 1    |   1 - 3   |    |      u28 |   L4743  |
Be I      |                  205.5902     |                    205.5904     |  11,* | 1.71e+07   | B    |   21978.925       -    70603.76         | 1s2.2s.2p              | 3P*  | 1   | 1s2.2s.5d           | 3D   | 1    |   3 - 3   |    |      u28 |   L4743  |
          |                               |                                 |       |            |      |                                         |                        |      |     |                     |      |      |           |    |          |          |
Be I      |                  205.5902     |                    205.5904     |  11,* | 3.08e+07   | B    |   21978.925       -    70603.76         | 1s2.2s.2p              | 3P*  | 1   | 1s2.2s.5d           | 3D   | 2    |   3 - 5   |    |      u28 |   L4743  |
Be I      |                  205.6012     |                    205.6003     |   13* | 1.14e+06   | B    |   21981.27        -    70603.76         | 1s2.2s.2p              | 3P*  | 2   | 1s2.2s.5d           | 3D   | 1    |   5 - 3   |    |      u28 |   L4743  |
