[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
C (all spectra): 961 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 1000
Query NIST Bibliographic Databases for
C (new window)
C Energy Levels
C Line Wavelengths and Classification
C Transition Probabilities
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |               Observed  |                   Ritz    |  Rel. |    Aki    | Acc. |          Ei           Ek          |         Lower level          |             Upper level              |  gi   gk  |Type|               TP  |   Line  |
          |              Wavelength |                Wavelength |  Int. |    s^-1   |      |        (cm-1)       (cm-1)        |------------------------------|--------------------------------------|           |    |              Ref. |   Ref.  |
          |               Air (nm)  |                 Air (nm)  |  (?)  |           |      |                                   | Conf.           | Term | J   | Conf.                | Term   | J    |           |    |                   |         |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                         |                           |       |           |      |                                   |                 |      |     |                      |        |      |           |    |                   |         |
C III     |                         |                200.0901   |       | 3.30e-03  | E    |   52390.75      -   102352.04     | 1s2.2s.2p       | 3P*  | 1   | 1s2.2s.2p            | 1P*    | 1    |   3 - 3   | M1 |       T4492,T3474 |         |
C III     |                         |                200.0901   |       | 6.01e-05  | D    |   52390.75      -   102352.04     | 1s2.2s.2p       | 3P*  | 1   | 1s2.2s.2p            | 1P*    | 1    |   3 - 3   | E2 |             T4586 |         |
C III     |                         |                200.3161   |       | 1.87e-03  | B    |   52447.11      -   102352.04     | 1s2.2s.2p       | 3P*  | 2   | 1s2.2s.2p            | 1P*    | 1    |   5 - 3   | M1 |       T4492,T3474 |         |
C III     |                         |                200.3161   |       | 4.91e-05  | D    |   52447.11      -   102352.04     | 1s2.2s.2p       | 3P*  | 2   | 1s2.2s.2p            | 1P*    | 1    |   5 - 3   | E2 |             T4586 |         |
C III     |                         |                200.9335   |       | 7.69e+07  | B    |  259705.55      -   309457.17     | 1s2.2s.3p       | 3P*  | 0   | 1s2.2s.4s            | 3S     | 1    |   1 - 3   |    |           T5633LS |         |
          |                         |                           |       |           |      |                                   |                 |      |     |                      |        |      |           |    |                   |         |
C III     |                         |                200.9564   |       | 2.30e+08  | B    |  259711.22      -   309457.17     | 1s2.2s.3p       | 3P*  | 1   | 1s2.2s.4s            | 3S     | 1    |   3 - 3   |    |           T5633LS |         |
C III     |                         |                201.0093   |       | 3.84e+08  | B    |  259724.30      -   309457.17     | 1s2.2s.3p       | 3P*  | 2   | 1s2.2s.4s            | 3S     | 1    |   5 - 3   |    |           T5633LS |         |
