[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
Ca (all spectra): 529 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 14000
Query NIST Bibliographic Databases for
Ca (new window)
Ca Energy Levels
Ca Line Wavelengths and Classification
Ca Transition Probabilities
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |               Observed  |                  Ritz    |       Rel. |    Aki    | Acc. |         Ei           Ek         |              Lower level              |              Upper level               |  gi   gk  |   Type|             TP  |      Line  |
          |              Wavelength |               Wavelength |       Int. |    s^-1   |      |       (cm-1)       (cm-1)       |---------------------------------------|----------------------------------------|           |       |            Ref. |      Ref.  |
          |               Air (nm)  |                Air (nm)  |       (?)  |           |      |                                 | Conf.                 | Term    | J   | Conf.                 | Term     | J   |           |       |                 |            |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                         |                          |            |           |      |                                 |                       |         |     |                       |          |     |           |       |                 |            |
Ca III    |              200.0895   |               200.08954  |       1400 | 2.6e+08   | B    | 278621.01      -  328582.45     | 3s2.3p5.4p            | 3D      | 1   | 3s2.3p5.(2P*<3/2>).5s | 2[3/2]*  | 1   |   3 - 3   |       |             u33 |      L262  |
Ca III    |              200.1402   |               200.1404   |       1100 | 4.9e+06   | C    | 227432.11      -  277380.86     | 3s2.3p5.3d            | 3D*     | 1   | 3s2.3p5.4p            | 3D       | 2   |   3 - 5   |       |           T7942 |      L262  |
Ca III    |              200.2987   |               200.2986   |       1100 | 3.0e+08   | B    | 281139.55      -  331048.86     | 3s2.3p5.4p            | 1P      | 1   | 3s2.3p5.(2P*<1/2>).5s | 2[1/2]*  | 0   |   3 - 1   |       |             u33 |      L262  |
Ca III    |              201.4103   |               201.4104   |       1000 | 3.2e+06   | C    | 227388.56      -  277022.40     | 3s2.3p5.3d            | 3D*     | 2   | 3s2.3p5.4p            | 3D       | 3   |   5 - 7   |       |           T7942 |      L262  |
Ca III    |              201.8697   |               201.86956  |       1300 | 3.5e+08   | B    | 281882.24      -  331403.20     | 3s2.3p5.4p            | 3P      | 2   | 3s2.3p5.(2P*<1/2>).5s | 2[1/2]*  | 1   |   5 - 3   |       |             u33 |      L262  |
          |                         |                          |            |           |      |                                 |                       |         |     |                       |          |     |           |       |                 |            |
Ca III    |              202.0772   |               202.07762  |       1000 |           |      | 278621.01      -  328090.99     | 3s2.3p5.4p            | 3D      | 1   | 3s2.3p5.(2P*<1/2>).4d | 2[5/2]*  | 2   |   3 - 5   |       |                 |      L262  |
Ca III    |              202.6050   |               202.60553  |       1000 | 2.16e+08  | B    | 278621.01      -  327962.11     | 3s2.3p5.4p            | 3D      | 1   | 3s2.3p5.(2P*<3/2>).4d | 2[3/2]*  | 1   |   3 - 3   |       |             u33 |      L262  |
