[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
Cd (all spectra): 150 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 2000
Query NIST Bibliographic Databases for
Cd (new window)
Cd Energy Levels
Cd Line Wavelengths and Classification
Cd Transition Probabilities
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |             Observed  |           Ritz    |  Rel. |    Aki    | Acc. |      Ei           Ek      |       Lower level       |       Upper level        |  gi   gk  |Type|    TP  |      Line  |
          |            Wavelength |        Wavelength |  Int. |    s^-1   |      |    (cm-1)       (cm-1)    |-------------------------|--------------------------|           |    |   Ref. |      Ref.  |
          |             Air (nm)  |         Air (nm)  |  (?)  |           |      |                           | Conf.      | Term | J   | Conf.       | Term | J   |           |    |        |            |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                       |                   |       |           |      |                           |            |      |     |             |      |     |           |    |        |            |
Cd III    |            200.060    |                   |    20 |           |      |                           |            |      |     |             |      |     |           |    |        |     L3540  |
Cd III    |            200.407    |                   |    15 |           |      |                           |            |      |     |             |      |     |           |    |        |     L3540  |
Cd II     |            200.749    |                   |   100 |           |      |                           |            |      |     |             |      |     |           |    |        |     L3540  |
Cd III    |            201.612    |                   |    15 |           |      |                           |            |      |     |             |      |     |           |    |        |     L3540  |
Cd II     |            203.245    |                   |    50 |           |      |                           |            |      |     |             |      |     |           |    |        |     L3540  |
          |                       |                   |       |           |      |                           |            |      |     |             |      |     |           |    |        |            |
Cd II     |            203.623    |                   |    75 |           |      |                           |            |      |     |             |      |     |           |    |        |     L3540  |
Cd III    |            203.983    |                   |    40 |           |      |                           |            |      |     |             |      |     |           |    |        |     L3540  |
Cd III    |            204.561    |                   |    50 |           |      |                           |            |      |     |             |      |     |           |    |        |     L3540  |
Cd III    |            206.125    |                   |    10 |           |      |                           |            |      |     |             |      |     |           |    |        |     L3540  |
Cd III    |            208.791    |                   |    75 |           |      |                           |            |      |     |             |      |     |           |    |        |     L3540  |
          |                       |                   |       |           |      |                           |            |      |     |             |      |     |           |    |        |            |
Cd II     |            209.600    |                   |   150 |           |      |                           |            |      |     |             |      |     |           |    |        |     L3540  |
Cd III    |            209.745    |                   |    10 |           |      |                           |            |      |     |             |      |     |           |    |        |     L3540  |
Cd III    |            210.047    |                   |     5 |           |      |                           |            |      |     |             |      |     |           |    |        |     L3540  |
Cd III    |            211.160    |                   |    50 |           |      |                           |            |      |     |             |      |     |           |    |        |     L3540  |
Cd II     |            214.441    |                   | 1000r | 2.8e+08   |      |                           |            |      | 1/2 |             |      | 3/2 |   2 - 4   |    |  T3464 |     L3540  |
