[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
Cl (all spectra): 481 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 99000
Query NIST Bibliographic Databases for
Cl (new window)
Cl Energy Levels
Cl Line Wavelengths and Classification
Cl Transition Probabilities
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |              Observed  |                Ritz    |   Rel. |    Aki    | Acc. |        Ei           Ek        |          Lower level          |           Upper level           |  gi   gk  |Type|                   TP  |   Line  |
          |             Wavelength |             Wavelength |   Int. |    s^-1   |      |      (cm-1)       (cm-1)      |-------------------------------|---------------------------------|           |    |                  Ref. |   Ref.  |
          |              Air (nm)  |              Air (nm)  |   (?)  |           |      |                               | Conf.            | Term | J   | Conf.              | Term | J   |           |    |                       |         |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                        |                        |        |           |      |                               |                  |      |     |                    |      |     |           |    |                       |         |
Cl III    |              200.684   |                        |    400 |           |      |                               |                  |      |     |                    |      |     |           |    |                       |   L495  |
Cl II     |              203.2116  |                        |    450 |           |      |                               |                  |      |     |                    |      |     |           |    |                       |  L1617  |
Cl II     |              208.8583  |                        |   350w |           |      |                               |                  |      |     |                    |      |     |           |    |                       |  L1617  |
Cl II     |              209.1458  |                        |   350w |           |      |                               |                  |      |     |                    |      |     |           |    |                       |  L1617  |
Cl VII    |                        |              217.88    |        | 4.3e+08   | C    | 464003.       -  509885.      | 2p6.4s           | 2S   | 1/2 | 2p6.4p             | 2P*  | 3/2 |   2 - 4   |    |        T1619interp,LS |         |
          |                        |                        |        |           |      |                               |                  |      |     |                    |      |     |           |    |                       |         |
Cl VII    |                        |              221.20    |        | 4.0e+08   | C    | 464003.       -  509197.      | 2p6.4s           | 2S   | 1/2 | 2p6.4p             | 2P*  | 1/2 |   2 - 2   |    |        T1619interp,LS |         |
Cl III    |                        |              223.114   |        | 6.7e+06   | E    | 201330.92     -  246137.2?    | 3s2.3p2.(3P).4p  | 4D*  | 3/2 | 3s2.3p2.(3P).5s    | 4P   | 5/2 |   4 - 6   |    |            T1619CA,LS |         |
Cl III    |              225.307   |              225.291   |    700 | 6.1e+07   | D    | 201763.86     -  246137.2?    | 3s2.3p2.(3P).4p  | 4D*  | 5/2 | 3s2.3p2.(3P).5s    | 4P   | 5/2 |   6 - 6   |    |            T1619CA,LS |   L480  |
Cl III    |                        |              225.562   |        | 1.7e+07   | E    | 201072.41     -  245392.4?    | 3s2.3p2.(3P).4p  | 4D*  | 1/2 | 3s2.3p2.(3P).5s    | 4P   | 3/2 |   2 - 4   |    |            T1619CA,LS |         |
