[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
Co (all spectra): 2891 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 610000
Query NIST Bibliographic Databases for
Co (new window)
Co Energy Levels
Co Line Wavelengths and Classification
Co Transition Probabilities
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                  Observed  |                    Ritz    |            Rel. |    Aki    | Acc. |          Ei           Ek          |               Lower level               |                Upper level                 |  gi   gk  |   Type|         TP  |             Line  |
          |                 Wavelength |                 Wavelength |            Int. |    s^-1   |      |        (cm-1)       (cm-1)        |-----------------------------------------|--------------------------------------------|           |       |        Ref. |             Ref.  |
          |                  Air (nm)  |                  Air (nm)  |            (?)  |           |      |                                   | Conf.                    | Term  | J    | Conf.                    | Term     | J    |           |       |             |                   |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                            |                            |                 |           |      |                                   |                          |       |      |                          |          |      |           |       |             |                   |
Co II     |                200.07929   |                200.079282  |            1500 | 2.4e+06   | D+   |      950.324    -     50914.325   | 3d8                      | a 3F  | 3    | 3d7.(4F).4p              | z 3F*    | 2    |   7 - 5   |       |       T6854 |        L9429c118  |
Co III    |                200.109     |                            |             100 |           |      |                                   |                          |       |      |                          |          |      |           |       |             |            L3537  |
Co I      |                200.232     |                            |            1500 |           |      |                                   |                          |       |      |                          |          |      |           |       |             |            L3338  |
Co II     |                200.275     |                200.275442  |           1000: | 3.6e+06   | D+   |     1597.197    -     51512.268   | 3d8                      | a 3F  | 2    | 3d7.(4F).4p              | z 3D*    | 3    |   5 - 7   |       |       T6135 |           L18302  |
Co II     |                200.7678    |                200.766661  |             290 |           |      |    18031.427    -     67824.389   | 3d7.(4P).4s              | a 5P  | 2    | 3d7.(2P).4p              | x 3D*    | 1    |   5 - 3   |       |             |        L4687c119  |
          |                            |                            |                 |           |      |                                   |                          |       |      |                          |          |      |           |       |             |                   |
Co I      |                200.804     |                            |             900 |           |      |                                   |                          |       |      |                          |          |      |           |       |             |            L3338  |
Co II     |                200.82281   |                200.822512  |            1100 | 4.3e+06   | D    |    21624.528    -     71403.644   | 3d7.(2G).4s              | a 3G  | 5    | 3d7.(2H).4p              | y 3H*    | 6    |  11 - 13  |       |       T6999 |        L9429c118  |
Co II     |                200.86490   |                200.864766  |             480 | 1.1e+07   | D    |    63586.987    -    113355.633   | 3d7.(4P).4p              | y 3D* | 3    | 3d7.(2D2).4d             | 3F       | 3    |   7 - 7   |       |       T6999 |        L9429c118  |
