[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
Cr (all spectra): 7174 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 10000
Query NIST Bibliographic Databases for
Cr (new window)
Cr Energy Levels
Cr Line Wavelengths and Classification
Cr Transition Probabilities
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                   Observed  |                     Ritz    |         Rel. |    Aki    | Acc. |           Ei           Ek           |             Lower level              |              Upper level              |  gi   gk  |Type|                     TP  |        Line  |
          |                  Wavelength |                  Wavelength |         Int. |    s^-1   |      |         (cm-1)       (cm-1)         |--------------------------------------|---------------------------------------|           |    |                    Ref. |        Ref.  |
          |                   Air (nm)  |                   Air (nm)  |         (?)  |           |      |                                     | Conf.                 | Term  | J    | Conf.                  | Term  | J    |           |    |                         |              |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                             |                             |              |           |      |                                     |                       |       |      |                        |       |      |           |    |                         |              |
Cr II     |                 200.01079   |                 200.010735  |            5 |           |      |    54887.9858    -    104869.108    | 3d4.(a 3F).4s         | d 4F  | 7/2  | 3d3.(4F).4s.4p.(1P*)   | p 4D* | 5/2  |   8 - 6   |    |                         |      L18847  |
Cr II     |                 200.04227   |                 200.042230  |           7* |           |      |    67369.0687    -    117342.323    | 3d4.(3H).4p           | y 4G* | 11/2 | 3d4.(5D).6d            | 4G    | 11/2 |  12 - 12  |    |                         |      L18847  |
Cr II     |                 200.04227   |                 200.042545  |           7* |           |      |    67012.0754    -    116985.251    | 3d4.(a 3F).4p         | y 4F* | 5/2  | 3d4.(5D).6d            | 4G    | 7/2  |   6 - 8   |    |                         |  L18847c153  |
Cr I      |                 200.060     |                 200.06050   |           20 |           |      |     8095.1842    -     58063.876    | 3d4.4s2               | a 5D  | 3    | 3d4.4s.5p              | r 5D* | 2    |   7 - 5   |    |                         |        L808  |
Cr II     |                 200.08405   |                 200.084035  |            6 |           |      |    35610.3087    -     85573.1233   | 3d5                   | b 2H  | 9/2  | 3d4.(1F).4p            | v 2G* | 7/2  |  10 - 8   |    |                         |      L18847  |
          |                             |                             |              |           |      |                                     |                       |       |      |                        |       |      |           |    |                         |              |
Cr II     |                 200.11020   |                 200.110188  |           18 |           |      |    66010.2463    -    115966.532    | 3d3.4s2               | d 4P  | 3/2  | 3d3.(4P).4s.4p.(1P*)   | 4P*   | 3/2  |   4 - 4   |    |                         |      L18847  |
Cr II     |                 200.16768   |                 200.167690  |            4 |           |      |    25042.7595    -     74984.6964   | 3d5                   | b 4D  | 3/2  | 3d4.(3D).4p            | y 2P* | 3/2  |   4 - 4   |    |                         |      L18847  |
