[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
Cu (all spectra): 1023 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 10000
Query NIST Bibliographic Databases for
Cu (new window)
Cu Energy Levels
Cu Line Wavelengths and Classification
Cu Transition Probabilities
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                 Observed  |                    Ritz    |     Rel. |    Aki    | Acc. |          Ei           Ek           |            Lower level            |              Upper level              |  gi   gk  |Type|    TP  |      Line  |
          |                Wavelength |                 Wavelength |     Int. |    s^-1   |      |        (cm-1)       (cm-1)         |-----------------------------------|---------------------------------------|           |    |   Ref. |      Ref.  |
          |                 Air (nm)  |                  Air (nm)  |     (?)  |           |      |                                    | Conf.                | Term | J   | Conf.                | Term | J       |           |    |        |            |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                           |                            |          |           |      |                                    |                      |      |     |                      |      |         |           |    |        |            |
Cu I      |                200.1672   |                 200.16723  |      12a |           |      |        0.000    -     49942.051    | 3d10.4s              | 2S   | 1/2 | 3d10.4d              | 2D   | 5/2     |   2 - 6   | E2 |        |     L4958  |
Cu I      |                200.1947   |                 200.19472  |       6a |           |      |        0.000    -     49935.195    | 3d10.4s              | 2S   | 1/2 | 3d10.4d              | 2D   | 3/2     |   2 - 4   | E2 |        |     L4958  |
Cu I      |                200.9252   |                 200.92510  |      12a |           |      |    11202.618    -     60956.32     | 3d9.4s2              | 2D   | 5/2 | 3d10.11p             | 2P*  | 3/2     |   6 - 4   |    |        |     L4958  |
Cu III    |                201.322    |                            |      200 |           |      |                                    |                      |      |     |                      |      |         |           |    |        |     L2987  |
Cu I      |                202.3947   |                 202.39473  |      12a |           |      |    11202.618    -     60595.10     | 3d9.4s2              | 2D   | 5/2 | 3d10.10p             | 2P*  | 3/2     |   6 - 4   |    |        |     L4958  |
          |                           |                            |          |           |      |                                    |                      |      |     |                      |      |         |           |    |        |            |
Cu I      |                202.4002   |                 202.40019  |       6a |           |      |    11202.618    -     60593.77     | 3d9.4s2              | 2D   | 5/2 | 3d10.8f              | 2F*  | 5/2     |   6 - 6   |    |        |     L4958  |
Cu I      |                202.4327   |                 202.43252  | 3000a,bl | 9.8e+06   | B    |        0.000    -     49383.264    | 3d10.4s              | 2S   | 1/2 | 3d10.5p              | 2P*  | 1/2     |   2 - 2   |    |  T7574 |     L4958  |
Cu I      |                202.4338   |                 202.43383  |    7000a | 9.8e+06   | B    |        0.000    -     49382.945    | 3d10.4s              | 2S   | 1/2 | 3d10.5p              | 2P*  | 3/2     |   2 - 4   |    |  T7574 |     L4958  |
