[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
K (all spectra): 304 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 70
Query NIST Bibliographic Databases for
K (new window)
K Energy Levels
K Line Wavelengths and Classification
K Transition Probabilities
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                    Observed  |                     Ritz    |  Rel. |    Aki    | Acc. |           Ei           Ek          |            Lower level            |            Upper level            |  gi   gk  |   Type|            TP  |    Line  |
          |                   Wavelength |                  Wavelength |  Int. |    s^-1   |      |         (cm-1)       (cm-1)        |-----------------------------------|-----------------------------------|           |       |           Ref. |    Ref.  |
          |                    Air (nm)  |                   Air (nm)  |  (?)  |           |      |                                    | Conf.             | Term    | J   | Conf.             | Term    | J   |           |       |                |          |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                              |                             |       |           |      |                                    |                   |         |     |                   |         |     |           |       |                |          |
K II      |                 203.4679     |                203.4671     |     5 | 8.81e+07  |      | 180392.7         -  229524.9       | 3p5.3d            | 3D*     | 2   | 3p5.(2P*<1/2>).4f | 2[5/2]  | 2   |   5 - 5   |       |          T8304 |  L12188  |
K II      |                 203.5408     |                203.5413     |    50 | 1.20e+09  |      | 180392.7         -  229507.0       | 3p5.3d            | 3D*     | 2   | 3p5.(2P*<1/2>).4f | 2[5/2]  | 3   |   5 - 7   |       |          T8304 |  L12188  |
K II      |                 203.6014     |                203.6014     |    10 | 3.89e+05  |      | 180392.7         -  229492.5       | 3p5.3d            | 3D*     | 2   | 3p5.(2P*<1/2>).4f | 2[7/2]  | 3   |   5 - 7   |       |          T8304 |  L12188  |
K II      |                 203.7005     |                203.7001     |    45 | 6.74e+08  |      | 180448.9         -  229524.9       | 3p5.3d            | 3D*     | 1   | 3p5.(2P*<1/2>).4f | 2[5/2]  | 2   |   3 - 5   |       |          T8304 |  L12188  |
K II      |                 204.4832     |                204.4823     |    10 | 7.49e+07  |      | 180618.7         -  229507.0       | 3p5.3d            | 1F*     | 3   | 3p5.(2P*<1/2>).4f | 2[5/2]  | 3   |   7 - 7   |       |          T8304 |  L12188  |
          |                              |                             |       |           |      |                                    |                   |         |     |                   |         |     |           |       |                |          |
K II      |                 204.5283     |                204.5288     |    40 | 1.80e+09  |      | 180618.7         -  229495.9       | 3p5.3d            | 1F*     | 3   | 3p5.(2P*<1/2>).4f | 2[7/2]  | 4   |   7 - 9   |       |          T8304 |  L12188  |
K II      |                 204.5430     |                204.5430     |    15 | 7.78e+07  |      | 180618.7         -  229492.5       | 3p5.3d            | 1F*     | 3   | 3p5.(2P*<1/2>).4f | 2[7/2]  | 3   |   7 - 7   |       |          T8304 |  L12188  |
