[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
Mg (all spectra): 1067 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 50
Query NIST Bibliographic Databases for
Mg (new window)
Mg Energy Levels
Mg Line Wavelengths and Classification
Mg Transition Probabilities
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                  Observed  |                    Ritz    |  Rel. |    Aki    | Acc. |           Ei           Ek           |              Lower level               |               Upper level               |  gi   gk  |Type|                       TP  |    Line  |
          |                 Wavelength |                 Wavelength |  Int. |    s^-1   |      |         (cm-1)       (cm-1)         |----------------------------------------|-----------------------------------------|           |    |                      Ref. |    Ref.  |
          |                  Air (nm)  |                  Air (nm)  |  (?)  |           |      |                                     | Conf.                 | Term    | J    | Conf.                 | Term     | J    |           |    |                           |          |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                            |                            |       |           |      |                                     |                       |         |      |                       |          |      |           |    |                           |          |
Mg III    |                 200.2917   |                 200.2918   |     2 |           |      |   534776.9       -    584687.9      | 2s2.2p5.3d            | 1D*     | 2    | 2s2.2p5.(2P*<3/2>).4f | 2[7/2]   | 3    |   5 - 7   |    |                           |   L1434  |
Mg IX     |                            |                 200.38     |       | 2.24e+07  | C+   |  1758970         -   1808860        | 1s2.2p.3p             | 3D      | 3    | 1s2.2p.3d             | 3D*      | 3    |   7 - 7   |    |                T5633c4,LS |          |
Mg III    |                            |                 200.486    |       | 2.27e-03  | B+   |   425640.3       -    475502.9      | 2s2.2p5.3s            | 3P*     | 2    | 2s2.2p5.3p            | 3D       | 1    |   5 - 3   | M2 |                       c46 |          |
Mg III    |                 200.4860   |                 200.4862   |     6 | 3.33e+07  | B+   |   425640.3       -    475502.9      | 2s2.2p5.3s            | 3P*     | 2    | 2s2.2p5.3p            | 3D       | 1    |   5 - 3   |    |                       c46 |   L1434  |
Mg III    |                 200.7623   |                 200.7617   |     1 |           |      |   534776.9       -    584571.1      | 2s2.2p5.3d            | 1D*     | 2    | 2s2.2p5.(2P*<3/2>).4f | 2[5/2]   | 2    |   5 - 5   |    |                           |   L1434  |
          |                            |                            |       |           |      |                                     |                       |         |      |                       |          |      |           |    |                           |          |
Mg III    |                 200.7906   |                 200.7907   |     0 |           |      |   534776.9       -    584563.9      | 2s2.2p5.3d            | 1D*     | 2    | 2s2.2p5.(2P*<3/2>).4f | 2[5/2]   | 3    |   5 - 7   |    |                           |   L1434  |
Mg III    |                 200.8771   |                 200.8771   |     2 |           |      |   534923.6       -    584689.2      | 2s2.2p5.3d            | 3D*     | 3    | 2s2.2p5.(2P*<3/2>).4f | 2[7/2]   | 4    |   7 - 9   |    |                           |   L1434  |
