[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
Mn (all spectra): 3535 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 27000
Query NIST Bibliographic Databases for
Mn (new window)
Mn Energy Levels
Mn Line Wavelengths and Classification
Mn Transition Probabilities
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                  Observed  |                    Ritz    |   Rel. |    Aki    | Acc. |          Ei           Ek          |             Lower level             |              Upper level              |  gi   gk  |   Type|         TP  |           Line  |
          |                 Wavelength |                 Wavelength |   Int. |    s^-1   |      |        (cm-1)       (cm-1)        |-------------------------------------|---------------------------------------|           |       |        Ref. |           Ref.  |
          |                  Air (nm)  |                  Air (nm)  |   (?)  |           |      |                                   | Conf.                | Term  | J    | Conf.                  | Term  | J    |           |       |             |                 |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                            |                            |        |           |      |                                   |                      |       |      |                        |       |      |           |       |             |                 |
Mn II     |                200.0520    |                200.05202   |     80 |           |      |    31761.21     -     81732.02    | 3d6                  | a 3F  | 2    | 3d5.(2D).4p            | x 3D* | 1    |   5 - 3   |       |             |           L562  |
Mn II     |                200.191     |                200.1896    |    60H | 1.8e+08   | D    |    59537.455    -    109473.92    | 3d6                  | c 1G  | 4    | 3d5.(b 2G).4p          | v 1G* | 4    |   9 - 9   |       |         c88 |           L562  |
Mn II     |                200.335     |                200.33472   |    20H |           |      |    14593.835    -     64494.14    | 3d6                  | a 5D  | 3    | 3d5.(4G).4p            | z 5G* | 4    |   7 - 9   |       |             |           L562  |
Mn I      |                200.385     |                            |  18000 |           |      |                                   |                      |       |      |                        |       |      |           |       |             |          L3475  |
Mn II     |                200.423     |                200.42432   |      1 |           |      |    32857.27     -     82735.27    | 3d5.(4D).4s          | b 5D  | 3    | 3d5.(4F).4p            | x 5D* | 2    |   7 - 5   |       |             |           L562  |
          |                            |                            |        |           |      |                                   |                      |       |      |                        |       |      |           |       |             |                 |
Mn II     |                200.456     |                200.4546    |     60 |           |      |    38901.88     -     88772.35    | 3d6                  | a 1G  | 4    | 3d5.(a 2G).4p          | 3G*   | 5    |   9 - 11  |       |             |           L562  |
Mn II     |                200.5165    |                200.51559   |    15? |           |      |    32857.27     -     82712.57    | 3d5.(4D).4s          | b 5D  | 3    | 3d5.(4F).4p            | x 5D* | 3    |   7 - 7   |       |             |           L562  |
Mn II     |                200.6682    |                200.66804   |     15 |           |      |    32787.90     -     82605.33    | 3d5.(4D).4s          | b 5D  | 4    | 3d5.(4F).4p            | x 5D* | 4    |   9 - 9   |       |             |           L562  |
