[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
Na (all spectra): 1702 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 80000
Query NIST Bibliographic Databases for
Na (new window)
Na Energy Levels
Na Line Wavelengths and Classification
Na Transition Probabilities
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                      Observed  |                        Ritz    |    Rel. |    Aki    | Acc. |             Ei           Ek             |              Lower level              |              Upper level               |  gi   gk  |Type|                  TP  |          Line  |
          |                     Wavelength |                     Wavelength |    Int. |    s^-1   |      |           (cm-1)       (cm-1)           |---------------------------------------|----------------------------------------|           |    |                 Ref. |          Ref.  |
          |                      Air (nm)  |                      Air (nm)  |    (?)  |           |      |                                         | Conf.                 | Term    | J   | Conf.                 | Term     | J   |           |    |                      |                |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                                |                                |         |           |      |                                         |                       |         |     |                       |          |     |           |    |                      |                |
Na VII    |                                |                   200.3        |         | 4.98e+06  | C    |  1392800           -   1442710          | 2p2.(1D).3p           | 2D*     | 3/2 | 2s.2p.(3P*).4p        | 2P       | 1/2 |   4 - 2   |    |           T7192c3,LS |                |
Na III    |                   200.4215     |                   200.4214     |      10 | 2.07e+08  | B+   |   416909.31        -    466788.03       | 2s2.2p4.(3P).3p       | 2S*     | 1/2 | 2s2.2p4.(3P).3d       | 2P       | 3/2 |   2 - 4   |    |            c51,T7317 |         L1882  |
Na III    |                   200.5217     |                   200.5216     |      11 | 9.67e+07  | B    |   367550.17        -    417403.98       | 2s2.2p4.(3P).3s       | 4P      | 1/2 | 2s2.2p4.(3P).3p       | 4S*      | 3/2 |   2 - 4   |    |            c51,T7317 |         L1882  |
Na III    |                   200.5546     |                   200.5548     |       9 | 1.50e+08  | B+   |   415172.28        -    465017.83       | 2s2.2p4.(3P).3p       | 2D*     | 3/2 | 2s2.2p4.(3P).3d       | 2D       | 3/2 |   4 - 4   |    |            c51,T7317 |         L1882  |
Na IV     |                                |                   200.574      |         | 3.12e+08  | B+   |   596578.9         -    646419.6        | 2s2.2p3.(2D*).3p      | 1D      | 2   | 2s2.2p3.(2D*).3d      | 1F*      | 3   |   5 - 7   |    |             T7663c11 |                |
          |                                |                                |         |           |      |                                         |                       |         |     |                       |          |     |           |    |                      |                |
Na VII    |                                |                   200.6        |         | 1.06e+08  | B+   |  1253780           -   1303610          | 2s.2p.(1P*).3p        | 2P      | 3/2 | 2s.2p.(1P*).3d        | 2D*      | 5/2 |   4 - 6   |    |           T7192c3,LS |                |
Na III    |                                |                   200.7572     |         | 1.93e+06  | D+   |   414281.85        -    464077.16       | 2s2.2p4.(3P).3p       | 2D*     | 5/2 | 2s2.2p4.(3P).3d       | 4F       | 3/2 |   6 - 4   |    |            c51,T7317 |                |
