[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
Ni (all spectra): 972 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 8200
Query NIST Bibliographic Databases for
Ni (new window)
Ni Energy Levels
Ni Line Wavelengths and Classification
Ni Transition Probabilities
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                Observed  |                   Ritz    |  Rel. |    Aki    | Acc. |           Ei           Ek           |            Lower level             |              Upper level              |  gi   gk  |Type|         TP  |    Line  |
          |               Wavelength |                Wavelength |  Int. |    s^-1   |      |         (cm-1)       (cm-1)         |------------------------------------|---------------------------------------|           |    |        Ref. |    Ref.  |
          |                Air (nm)  |                 Air (nm)  |  (?)  |           |      |                                     | Conf.                | Term | J    | Conf.                | Term    | J    |           |    |             |          |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                          |                           |       |           |      |                                     |                      |      |      |                      |         |      |           |    |             |          |
Ni XI     |                200.04    |                 200.1*    |       |           |      |   493250         -    543220        | 3s2.3p5.3d           | 3F*  | 4    | 3s2.3p5.3d           | 1F*     | 3    |   9 - 7   | M1 |             |  L11926  |
Ni I      |                          |                 200.0497  |       | 5.4e+06   | C    |      879.816     -     50851.199    | 3d9.(2D).4s          | 3D   | 2    | 3d9.(2D).5p          | 3D*     | 1    |   5 - 3   |    |       T3861 |          |
Ni I      |                          |                 200.183   |       | 7.3e+06   | C    |      204.787     -     50142.8      | 3d9.(2D).4s          | 3D   | 3    | 3d9.(2D).5p          | *       | 3    |   7 - 7   |    |       T3861 |          |
Ni IV     |                          |                 200.452   |       | 1.9e+00   | E    |    18118.6       -     67989.8      | 3p6.3d7              | 4P   | 5/2  | 3p6.3d7              | 2D1     | 5/2  |   6 - 6   | M1 |       T4605 |          |
Ni IV     |                          |                 200.452   |       | 1.5e-03   | E    |    18118.6       -     67989.8      | 3p6.3d7              | 4P   | 5/2  | 3p6.3d7              | 2D1     | 5/2  |   6 - 6   | E2 |       T4605 |          |
          |                          |                           |       |           |      |                                     |                      |      |      |                      |         |      |           |    |             |          |
Ni I      |                          |                 200.6993  |       | 1.7e+07   | C    |      879.816     -     50689.489    | 3d9.(2D).4s          | 3D   | 2    | 3d9.(2D).5p          | 3D*     | 2    |   5 - 5   |    |       T3861 |          |
Ni I      |                          |                 200.7685  |       | 9.0e+06   | C    |     1332.164     -     51124.662    | 3d8.(3F).4s2         | 3F   | 3    | 3d8.(1G).4s.4p.(3P*) | 3F*     | 3    |   7 - 7   |    |       T3861 |          |
