[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
P (all spectra): 266 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 950
Query NIST Bibliographic Databases for
P (new window)
P Energy Levels
P Line Wavelengths and Classification
P Transition Probabilities
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |              Observed  |                Ritz    |  Rel. |    Aki    | Acc. |        Ei           Ek        |         Lower level          |         Upper level          |  gi   gk  |Type|            TP  |   Line  |
          |             Wavelength |             Wavelength |  Int. |    s^-1   |      |      (cm-1)       (cm-1)      |------------------------------|------------------------------|           |    |           Ref. |   Ref.  |
          |              Air (nm)  |              Air (nm)  |  (?)  |           |      |                               | Conf.           | Term | J   | Conf.           | Term | J   |           |    |                |         |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                        |                        |       |           |      |                               |                 |      |     |                 |      |     |           |    |                |         |
P I       |              202.3489  |                        |   280 |           |      |                               |                 |      |     |                 |      |     |           |    |                |  L5148  |
P I       |              202.4516  |                        |   180 |           |      |                               |                 |      |     |                 |      |     |           |    |                |  L5148  |
P I       |              203.2432  |                        |   400 |           |      |                               |                 |      |     |                 |      |     |           |    |                |  L5148  |
P I       |              203.3477  |                        |   400 |           |      |                               |                 |      |     |                 |      |     |           |    |                |  L5148  |
P XII     |                        |              207       |       | 7.9e+07   | C    | 2629500       -  2677800      | 1s2.2s.3s       | 1S   | 0   | 1s2.2s.3p       | 1P*  | 1   |   1 - 3   |    |           T828 |         |
          |                        |                        |       |           |      |                               |                 |      |     |                 |      |     |           |    |                |         |
P IV      |                        |              208.8704  |       | 1.2e+08   | D    |  219153.88    -   267015.23   | 3s.3d           | 1D   | 2   | 3p.3d           | 1D*  | 2   |   5 - 5   |    |          T1002 |         |
P I       |              213.5465  |              213.5469  |   400 | 2.11e+07  | C    |   11361.02    -    58174.366  | 3s2.3p3         | 2D*  | 3/2 | 3s2.3p2.(3P).4s | 2P   | 3/2 |   4 - 4   |    |          T1220 |  L5148  |
P I       |              213.6182  |              213.6182  |   400 | 2.83e+08  | C    |   11376.63    -    58174.366  | 3s2.3p3         | 2D*  | 5/2 | 3s2.3p2.(3P).4s | 2P   | 3/2 |   6 - 4   |    |          T1220 |  L5148  |
P I       |              214.9145  |              214.9142  |   400 | 3.18e+08  | C    |   11361.02    -    57876.574  | 3s2.3p3         | 2D*  | 3/2 | 3s2.3p2.(3P).4s | 2P   | 1/2 |   4 - 2   |    |          T1220 |  L5148  |
