[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
Pb (all spectra): 176 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 95000
Query NIST Bibliographic Databases for
Pb (new window)
Pb Energy Levels
Pb Line Wavelengths and Classification
Pb Transition Probabilities
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |             Observed  |            Ritz    |   Rel. |    Aki    | Acc. |      Ei           Ek       |     Lower level      |            Upper level            |  gi   gk  |Type|    TP  |   Line  |
          |            Wavelength |         Wavelength |   Int. |    s^-1   |      |    (cm-1)       (cm-1)     |----------------------|-----------------------------------|           |    |   Ref. |   Ref.  |
          |             Air (nm)  |          Air (nm)  |   (?)  |           |      |                            | Conf.   | Term | J   | Conf.                | Term | J   |           |    |        |         |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                       |                    |        |           |      |                            |         |      |     |                      |      |     |           |    |        |         |
Pb I      |             202.202   |          202.2018+ |     5r | 5.9e+06   |      |     0.000   -   49439.616  | 6s2.6p2 | 3P   | 0   | 6s2.6p.(2P*<3/2>).7s | 1P*  | 1   |   1 - 3   |    |  T7227 |    L50  |
Pb IV     |             204.258   |                    |     10 |           |      |                            |         |      |     |                      |      |     |           |    |        |  L1202  |
Pb IV     |             204.934   |                    |     12 |           |      |                            |         |      |     |                      |      |     |           |    |        |  L1202  |
Pb I      |             205.088   |                    |      5 |           |      |                            |         |      |     |                      |      |     |           |    |        |    L50  |
Pb I      |             205.328   |          205.3282+ |     8r | 1.02e+07  |      |     0.000   -   48686.934  | 6s2.6p2 | 3P   | 0   | 6s2.6p.(2P*<1/2>).8s | 3P*  | 1   |   1 - 3   |    |  T7227 |    L50  |
          |                       |                    |        |           |      |                            |         |      |     |                      |      |     |           |    |        |         |
Pb V      |             207.845   |                    |      8 |           |      |                            |         |      |     |                      |      |     |           |    |        |  L1202  |
Pb IV     |             207.922   |                    |     12 |           |      |                            |         |      |     |                      |      |     |           |    |        |  L1202  |
Pb I      |             211.1758  |                    |      6 |           |      |                            |         |      |     |                      |      |     |           |    |        |    L50  |
Pb I      |             211.5066  |                    |     10 |           |      |                            |         |      |     |                      |      |     |           |    |        |    L50  |
Pb V      |             214.255   |                    |     10 |           |      |                            |         |      |     |                      |      |     |           |    |        |  L1202  |
          |                       |                    |        |           |      |                            |         |      |     |                      |      |     |           |    |        |         |
Pb IV     |             215.196   |                    |      8 |           |      |                            |         |      |     |                      |      |     |           |    |        |  L1202  |
Pb IV     |             215.401   |                    |     15 |           |      |                            |         |      |     |                      |      |     |           |    |        |  L1202  |
