[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
S (all spectra): 1850 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 120
Query NIST Bibliographic Databases for
S (new window)
S Energy Levels
S Line Wavelengths and Classification
S Transition Probabilities
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                 Observed  |                   Ritz    |   Rel. |    Aki    | Acc. |          Ei           Ek          |           Lower level           |            Upper level            |  gi   gk  |Type|         TP  |               Line  |
          |                Wavelength |                Wavelength |   Int. |    s^-1   |      |        (cm-1)       (cm-1)        |---------------------------------|-----------------------------------|           |    |        Ref. |               Ref.  |
          |                 Air (nm)  |                 Air (nm)  |   (?)  |           |      |                                   | Conf.            | Term  | J    | Conf.              | Term  | J    |           |    |             |                     |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                           |                           |        |           |      |                                   |                  |       |      |                    |       |      |           |    |             |                     |
S II      |                200.0514   |                200.0519   |      8 |           |      |   110313.40     -    160284.24    | 3s2.3p2.(3P).3d  | 4F    | 5/2  | 3s2.3p2.(3P<1>).4f | 2[3]* | 7/2  |   6 - 8   |    |             |              L5883  |
S II      |                200.1570   |                200.1569   |      6 |           |      |   110313.40     -    160258.03    | 3s2.3p2.(3P).3d  | 4F    | 5/2  | 3s2.3p2.(3P<1>).4f | 2[3]* | 5/2  |   6 - 6   |    |             |              L5883  |
S II      |                200.1985   |                200.1997   |     10 |           |      |   110508.71     -    160442.67    | 3s2.3p2.(3P).3d  | 4F    | 7/2  | 3s2.3p2.(3P<1>).4f | 2[4]* | 9/2  |   8 - 10  |    |             |              L5883  |
S II      |                200.2278   |                200.2272   |      9 |           |      |   110177.02     -    160104.11    | 3s2.3p2.(3P).3d  | 4F    | 3/2  | 3s2.3p2.(3P<0>).4f | 2[3]* | 5/2  |   4 - 6   |    |             |              L5883  |
S II      |                200.3540   |                200.3537   |      7 | 6.12e+06  | D    |    79962.61     -    129858.18    | 3s.3p4           | 4P    | 1/2  | 3s2.3p2.(3P).4p    | 4P*   | 3/2  |   2 - 4   |    |    T3186c85 |              L5883  |
          |                           |                           |        |           |      |                                   |                  |       |      |                    |       |      |           |    |             |                     |
S II      |                200.4956   |                200.4955   |      1 |           |      |   110268.60     -    160128.90    | 3s2.3p2.(3P).4s  | 4P    | 5/2  | 3s2.3p2.(3P<0>).4f | 2[3]* | 7/2  |   6 - 8   |    |             |              L5883  |
S II      |                200.6367   |                200.6367   |      6 | 4.09e+06  | D    |    79962.61     -    129787.83    | 3s.3p4           | 4P    | 1/2  | 3s2.3p2.(3P).4p    | 4P*   | 1/2  |   2 - 2   |    |    T3186c85 |              L5883  |
