[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
Si (all spectra): 1170 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 1000
Query NIST Bibliographic Databases for
Si (new window)
Si Energy Levels
Si Line Wavelengths and Classification
Si Transition Probabilities
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                 Observed  |                   Ritz    |  Rel. |    Aki    | Acc. |          Ei           Ek           |              Lower level              |                 Upper level                  |  gi   gk  |Type|                  TP  |   Line  |
          |                Wavelength |                Wavelength |  Int. |    s^-1   |      |        (cm-1)       (cm-1)         |---------------------------------------|----------------------------------------------|           |    |                 Ref. |   Ref.  |
          |                 Air (nm)  |                 Air (nm)  |  (?)  |           |      |                                    | Conf.                 | Term    | J   | Conf.                     | Term       | J   |           |    |                      |         |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                           |                           |       |           |      |                                    |                       |         |     |                           |            |     |           |    |                      |         |
Si III    |                           |                 200.1072  |       | 1.91e+07  | D    |   199164.10     -    249121.14     | 3p.3d                 | 3F*     | 4   | 3s.7d                     | 3D         | 3   |   9 - 7   |    |           T6298c4,LS |         |
Si II     |                           |                 200.416   |       | 4.76e+06  | D    |    76665.35     -    126545.4      | 3s.3p2                | 2S      | 1/2 | 3s2.10p                   | 2P*        | 1/2 |   2 - 2   |    |                T6868 |         |
Si II     |                           |                 200.495   |       | 4.75e+06  | D    |    76665.35     -    126525.8      | 3s.3p2                | 2S      | 1/2 | 3s2.10p                   | 2P*        | 3/2 |   2 - 4   |    |                T6868 |         |
Si III    |                           |                 200.914   |       | 3.60e+07  | D+   |   204828.06     -    254584.6      | 3s.4f                 | 1F*     | 3   | 3s.8g                     | 1G         | 4   |   7 - 9   |    |              T6298c4 |         |
Si III    |                           |                 200.9899  |       | 2.61e+07  | D    |   205029.09     -    254766.75     | 3p.3d                 | 1D*     | 2   | 3s.8d                     | 1D         | 2   |   5 - 5   |    |              T6298c4 |         |
          |                           |                           |       |           |      |                                    |                       |         |     |                           |            |     |           |    |                      |         |
Si I      |                 201.097   |                           |    30 |           |      |                                    |                       |         |     |                           |            |     |           |    |                      |  L3521  |
Si II     |                           |                 201.492   |       | 3.31e+07  | D+   |    76665.35     -    126279.0      | 3s.3p2                | 2S      | 1/2 | 3s.3p.(3P*).3d            | 2P*        | 1/2 |   2 - 2   |    |                T6868 |         |
Si II     |                           |                 201.666   |       | 3.39e+07  | C    |    76665.35     -    126236.4      | 3s.3p2                | 2S      | 1/2 | 3s.3p.(3P*).3d            | 2P*        | 3/2 |   2 - 4   |    |                T6868 |         |
