[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
Sr (all spectra): 1069 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 29000
Query NIST Bibliographic Databases for
Sr (new window)
Sr Energy Levels
Sr Line Wavelengths and Classification
Sr Transition Probabilities
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |               Observed  |                   Ritz    |   Rel. |    Aki    | Acc. |        Ei           Ek         |              Lower level               |              Upper level               |  gi   gk  |   Type|         TP  |    Line  |
          |              Wavelength |                Wavelength |   Int. |    s^-1   |      |      (cm-1)       (cm-1)       |----------------------------------------|----------------------------------------|           |       |        Ref. |    Ref.  |
          |               Air (nm)  |                 Air (nm)  |   (?)  |           |      |                                | Conf.                | Term     | J    | Conf.                | Term     | J    |           |       |             |          |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                         |                           |        |           |      |                                |                      |          |      |                      |          |      |           |       |             |          |
Sr IV     |             200.2716    |               200.2722    |     16 |           |      | 341420.62     -  391336.49     | 4s2.4p4.(3P).4f      | 4D*      | 7/2  | 4s2.4p4.(3P<1>).5g   | 2[5]     | 9/2  |   8 - 10  |       |             |   L4311  |
Sr IV     |             200.4009    |               200.4009    |     24 |           |      | 353156.17     -  403040.00     | 4s2.4p4.(1D).4f      | 2H*      | 9/2  | 4s2.4p4.(1D<2>).5g   | 2[6]     | 11/2 |  10 - 12  |       |             |   L4311  |
Sr IV     |             200.4617    |               200.4614    |     18 |           |      | 353937.37     -  403806.14     | 4s2.4p4.(1D).4f      | 2F*      | 7/2  | 4s2.4p4.(1D<2>).5g   | 2[4]     | 9/2  |   8 - 10  |       |             |   L4311  |
Sr IV     |             200.5498    |               200.5498    |     24 |           |      | 353192.24     -  403039.04     | 4s2.4p4.(1D).4f      | 2H*      | 11/2 | 4s2.4p4.(1D<2>).5g   | 2[6]     | 13/2 |  12 - 14  |       |             |   L4311  |
Sr III    |             200.7431    |               200.7431    |    24* |           |      | 225310.67     -  275109.48     | 4p5.(2P*<3/2>).5p    | 2[5/2]   | 2    | 4p5.(2P*<3/2>).5d    | 2[3/2]*  | 1    |   5 - 3   |       |             |   L1771  |
          |                         |                           |        |           |      |                                |                      |          |      |                      |          |      |           |       |             |          |
Sr III    |             200.7431    |               200.7496    |    24* |           |      | 177698.19     -  227495.38     | 4p5.(2P*<3/2>).4d    | 2[1/2]*  | 1    | 4p5.(2P*<3/2>).5p    | 2[3/2]   | 1    |   3 - 3   |       |             |   L1771  |
Sr V      |             200.7599    |               200.7602    |     30 |           |      | 266325.33     -  316119.90     | 4s2.4p3.(4S*).5s     | 5S*      | 2    | 4s2.4p3.(4S*).5p     | 5P       | 3    |   5 - 7   |       |             |   L6378  |
