[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
Ti (all spectra): 4528 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 21000
Query NIST Bibliographic Databases for
Ti (new window)
Ti Energy Levels
Ti Line Wavelengths and Classification
Ti Transition Probabilities
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                    Observed  |                      Ritz    |   Rel. |    Aki    | Acc. |            Ei           Ek            |                Lower level                |                Upper level                |  gi   gk  |   Type|          TP  |           Line  |
          |                   Wavelength |                   Wavelength |   Int. |    s^-1   |      |          (cm-1)       (cm-1)          |-------------------------------------------|-------------------------------------------|           |       |         Ref. |           Ref.  |
          |                    Air (nm)  |                    Air (nm)  |   (?)  |           |      |                                       | Conf.                 | Term       | J    | Conf.                 | Term       | J    |           |       |              |                 |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                              |                              |        |           |      |                                       |                       |            |      |                       |            |      |           |       |              |                 |
Ti II     |                  200.049     |                  200.051141  |     0: |           |      |    32275.4863     -     82246.515     | 3d3                   | d 2D1      | 3/2  | 3d2.(3F).4f           | 4P*        | 5/2  |   4 - 6   |       |              |          L5432  |
Ti II     |                  200.663     |                  200.663493  |     1: |           |      |    32332.9031     -     82151.461     | 3d3                   | d 2D1      | 5/2  | 3d2.(3F).4f           | 2F*        | 7/2  |   6 - 8   |       |              |          L5432  |
Ti III    |                  200.7360    |                  200.736+    |      4 | 3.4e+08   | D    |    80939.19       -    130739.82      | 3p6.3d.4p             | 3P*        | 1    | 3p6.3d.4d             | 3S         | 1    |   3 - 3   |       |        T1216 |         L11926  |
Ti III    |                  200.7604    |                  200.759+    |      2 | 1.2e+08   | D    |    80944.87       -    130739.82      | 3p6.3d.4p             | 3P*        | 0    | 3p6.3d.4d             | 3S         | 1    |   1 - 3   |       |        T1216 |         L11926  |
Ti II     |                  200.778     |                  200.77797   |     0: |           |      |    32275.4863     -     82065.643     | 3d3                   | d 2D1      | 3/2  | 3d2.(3F).4f           | 2P*        | 1/2  |   4 - 2   |       |              |          L5432  |
          |                              |                              |        |           |      |                                       |                       |            |      |                       |            |      |           |       |              |                 |
Ti XV     |                              |                  200.83      |        | 1.1e-01   | E    |   712278          -    762056         | 2s.2p5                | 3P*        | 2    | 2s.2p5                | 3P*        | 0    |   5 - 1   | E2    |    T3827,u14 |                 |
Ti III    |                  201.0800    |                  201.080+    |      6 | 5.4e+08   | D    |    81024.47       -    130739.82      | 3p6.3d.4p             | 3P*        | 2    | 3p6.3d.4d             | 3S         | 1    |   5 - 3   |       |        T1216 |         L11926  |
