[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
U (all spectra): 403 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 4900
Query NIST Bibliographic Databases for
U (new window)
U Energy Levels
U Line Wavelengths and Classification
U Transition Probabilities
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |           Observed  |          Ritz    |  Rel. |    Aki    | Acc. |   Ei           Ek   | Lower level | Upper level |  gi   gk  |Type|    TP  |   Line  |
          |          Wavelength |       Wavelength |  Int. |    s^-1   |      | (cm-1)       (cm-1) |-------------|-------------|           |    |   Ref. |   Ref.  |
          |           Air (nm)  |        Air (nm)  |  (?)  |           |      |                     | J           | J           |           |    |        |         |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                     |                  |       |           |      |                     |             |             |           |    |        |         |
U II      |           256.541   |                  |   440 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           256.971   |                  |   340 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           259.125   |                  |   340 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           263.553   |                  |   610 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           264.547   |                  |   470 |           |      |                     |             |             |           |    |        |  L3475  |
          |                     |                  |       |           |      |                     |             |             |           |    |        |         |
U II      |           266.917   |                  |   340 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           268.328   |                  |   470 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           269.104   |                  |   320 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           270.695   |                  |   370 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           273.397   |                  |   370 |           |      |                     |             |             |           |    |        |  L3475  |
          |                     |                  |       |           |      |                     |             |             |           |    |        |         |
U II      |           275.416   |                  |   470 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           276.285   |                  |   340 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           277.004   |                  |   390 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           278.445   |                  |   410 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           279.394   |                  |   830 |           |      |                     |             |             |           |    |        |  L3475  |
          |                     |                  |       |           |      |                     |             |             |           |    |        |         |
U II      |           280.256   |                  |   870 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           280.705   |                  |   630 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           280.898   |                  |   440 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           281.796   |                  |   630 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           282.112   |                  |   870 |           |      |                     |             |             |           |    |        |  L3475  |
          |                     |                  |       |           |      |                     |             |             |           |    |        |         |
U II      |           282.437   |                  |   390 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           282.890   |                  |   680 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           283.206   |                  |   920 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           283.719   |                  |   360 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           283.989   |                  |   460 |           |      |                     |             |             |           |    |        |  L3475  |
          |                     |                  |       |           |      |                     |             |             |           |    |        |         |
U II      |           284.209   |                  |   360 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           284.948   |                  |   360 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           286.047   |                  |   390 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           286.568   |                  |   970 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           287.097   |                  |   340 |           |      |                     |             |             |           |    |        |  L3475  |
          |                     |                  |       |           |      |                     |             |             |           |    |        |         |
U II      |           288.274   |                  |   490 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           288.725   |                  |   460 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           288.826   |                  |   410 |           |      |                     |             |             |           |    |        |  L3475  |
