[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
V (all spectra): 1310 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 12000
Query NIST Bibliographic Databases for
V (new window)
V Energy Levels
V Line Wavelengths and Classification
V Transition Probabilities
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                Observed  |                  Ritz    |  Rel. |    Aki    | Acc. |          Ei           Ek          |             Lower level             |              Upper level               |  gi   gk  |Type|         TP  |          Line  |
          |               Wavelength |               Wavelength |  Int. |    s^-1   |      |        (cm-1)       (cm-1)        |-------------------------------------|----------------------------------------|           |    |        Ref. |          Ref.  |
          |                Air (nm)  |                Air (nm)  |  (?)  |           |      |                                   | Conf.                | Term  | J    | Conf.                  | Term   | J    |           |    |             |                |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                          |                          |       |           |      |                                   |                      |       |      |                        |        |      |           |    |             |                |
V XVI     |                          |                200.06    |       | 1.0e-01   | E    |        0        -     49970       | 2s2.2p4              | 3P    | 2    | 2s2.2p4                | 3P     | 0    |   5 - 1   | E2 |       T3941 |                |
V IV      |                200.2480  |                200.25+   |   100 | 3.6e+08   | D    |    96196.1      -    146117.7     | 3p6.3d.4s            | 3D    | 1    | 3p6.3d.4p              | 3D*    | 1    |   3 - 3   |    |       T2757 |   L147,L11926  |
V IV      |                201.1180  |                201.12+   |    40 | 1.7e+08   | D    |    96412.1      -    146117.7     | 3p6.3d.4s            | 3D    | 2    | 3p6.3d.4p              | 3D*    | 1    |   5 - 3   |    |       T2757 |        L11926  |
V IV      |                201.4199  |                201.42+   |    40 | 9.7e+07   | D    |    96798.0      -    146429.3     | 3p6.3d.4s            | 3D    | 3    | 3p6.3d.4p              | 3D*    | 2    |   7 - 5   |    |       T2757 |        L11926  |
V IV      |                202.7144  |                202.72+   |     1 |           |      |   215957.7      -    265271.6     | 3p6.3d.4d            | 1F    | 3    | 3p6.3d.4f              | 3D*    | 3    |   7 - 7   |    |             |        L11926  |
          |                          |                          |       |           |      |                                   |                      |       |      |                        |        |      |           |    |             |                |
V IV      |                204.2454  |                204.25+   |    20 |           |      |   215957.7      -    264902.2     | 3p6.3d.4d            | 1F    | 3    | 3p6.3d.4f              | 1F*    | 3    |   7 - 7   |    |             |        L11926  |
V XVI     |                204.27    |                204.3+    |       | 2.48e+03  | C+   |        0        -     48937       | 2s2.2p4              | 3P    | 2    | 2s2.2p4                | 3P     | 1    |   5 - 3   | M1 |       T3941 |        L11926  |
