[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
Zn (all spectra): 96 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 1000
Query NIST Bibliographic Databases for
Zn (new window)
Zn Energy Levels
Zn Line Wavelengths and Classification
Zn Transition Probabilities
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |          Observed  |          Ritz    |  Rel. |    Aki    | Acc. |   Ei           Ek   | Lower level | Upper level |  gi   gk  |Type|    TP  |   Line  |
          |         Wavelength |       Wavelength |  Int. |    s^-1   |      | (cm-1)       (cm-1) |-------------|-------------|           |    |   Ref. |   Ref.  |
          |          Air (nm)  |        Air (nm)  |  (?)  |           |      |                     | J           | J           |           |    |        |         |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                    |                  |       |           |      |                     |             |             |           |    |        |         |
Zn II     |           201.194  |                  |   100 |           |      |                     |             |             |           |    |        |   L640  |
Zn II     |           202.548  |                  |   500 | 3.3e+08   |      |                     | 1/2         | 3/2         |   2 - 4   |    |  T3464 |   L640  |
Zn II     |           203.931  |                  |    60 |           |      |                     |             |             |           |    |        |   L640  |
Zn II     |           206.200  |                  |   500 |           |      |                     |             |             |           |    |        |   L640  |
Zn II     |           206.423  |                  |   200 | 4.6e+08   |      |                     | 1/2         | 3/2         |   2 - 4   |    |  T3464 |   L640  |
          |                    |                  |       |           |      |                     |             |             |           |    |        |         |
Zn I      |           207.908  |                  |   120 |           |      |                     |             |             |           |    |        |   L736  |
Zn II     |           207.993  |                  |    50 |           |      |                     |             |             |           |    |        |   L640  |
Zn I      |           208.733  |                  |    60 |           |      |                     |             |             |           |    |        |   L736  |
Zn I      |           209.693  |                  |    80 |           |      |                     |             |             |           |    |        |   L736  |
Zn II     |           209.994  |                  |   300 | 5.6e+08   |      |                     | 3/2         | 5/2         |   4 - 6   |    |  T3464 |   L640  |
          |                    |                  |       |           |      |                     |             |             |           |    |        |         |
Zn II     |           210.218  |                  |   200 | 9.3e+07   |      |                     | 3/2         | 3/2         |   4 - 4   |    |  T3464 |   L640  |
Zn I      |           210.442  |                  |   150 |           |      |                     |             |             |           |    |        |   L736  |
Zn II     |           212.274  |                  |    75 |           |      |                     |             |             |           |    |        |   L640  |
Zn I      |           213.856  |                  |  800r | 7.09e+08  |      |                     | 0           | 1           |   1 - 3   |    |  T3464 |  L3284  |
Zn II     |           214.742  |                  |    75 |           |      |                     |             |             |           |    |        |   L640  |
          |                    |                  |       |           |      |                     |             |             |           |    |        |         |
Zn II     |           221.018  |                  |    60 |           |      |                     |             |             |           |    |        |   L640  |
Zn II     |           227.315  |                  |    50 |           |      |                     |             |             |           |    |        |   L640  |
Zn II     |           250.199  |                  |  1000 |           |      |                     |             |             |           |    |        |   L640  |
Zn I      |           251.581  |                  |   150 |           |      |                     |             |             |           |    |        |  L3284  |
Zn II     |           252.796  |                  |    50 |           |      |                     |             |             |           |    |        |   L640  |
          |                    |                  |       |           |      |                     |             |             |           |    |        |         |
Zn II     |           255.795  |                  |  1000 |           |      |                     |             |             |           |    |        |   L640  |
Zn II     |           256.780  |                  |    50 |           |      |                     |             |             |           |    |        |   L640  |
Zn II     |           256.798  |                  |    50 |           |      |                     |             |             |           |    |        |   L640  |
Zn I      |           256.987  |                  |  100w |           |      |                     |             |             |           |    |        |  L3284  |
Zn I      |           258.244  |                  |   100 |           |      |                     |             |             |           |    |        |  L3284  |
          |                    |                  |       |           |      |                     |             |             |           |    |        |         |
Zn I      |           258.249  |                  |   300 |           |      |                     |             |             |           |    |        |  L3284  |
Zn I      |           260.856  |                  |   200 |           |      |                     |             |             |           |    |        |  L3284  |
Zn I      |           260.864  |                  |   300 |           |      |                     |             |             |           |    |        |  L3284  |
Zn I      |           267.053  |                  |   200 |           |      |                     |             |             |           |    |        |  L3284  |
Zn I      |           268.416  |                  |   300 |           |      |                     |             |             |           |    |        |  L3284  |
